Country,Y1860,Y1865,Y1870,Y1875,Y1880,Y1885,Y1890,Y1895,Y1900,Y1905,Y1910,Y1915,Y1920,Y1925,Y1930,Y1935,Y1940,Y1945,Y1950,Y1955,Y1960,Y1965,Y1970,Y1975,Y1980,Y1985,Y1990,Y1995,Y2000,Y2005,Y2010,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,17.5,,56.6,,56.6,,67.3,,81.5,83.8,87.3,92.0,92.6,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,,,,,12.5,12.8,15.6,22.8,36.9,36.5,,52.3,65.5,73.1,77.0,82.4,85.0,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,10.9,12.5,,14.4,24.2,,,40.4,,52.3,58.0,74.1,,78.2,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,98.5,,98.7,,98.8,,98.8,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,93.7,,84.2,,87.9,,,91.8,,,,97.1,,,,,,,,,,,,,
Italy,,,,,,,,,51.8,,62.8,,72.5,,78.4,,,,87.5,,,,93.9,,96.5,,97.0,,98.4,,98.9,,,,,,,,,,,,
Ivory Coast,,,,,,,,,,,,,,,,,,,,,5.0,,,,35.0,,34.1,40.1,48.7,,56.2,,,,,,,,,,,,
Jamaica,,,,,,,,,,,47.2,,52.2,,,,,67.9,72.5,77.0,90.9,,96.1,,77.3,,82.9,85.0,86.4,,89.7,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,97.5,,97.8,,99.0,,99.0,,99.0,,99.0,,99.0,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,17.5,,32.4,,67.6,,66.8,,82.1,86.6,89.8,91.1,92.6,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,,99.5,,99.7,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,22.5,,19.5,,,,58.1,,72.0,78.1,82.2,81.8,90.1,,,,,,,,,,,,
